Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,3.3713991236084455,6.8,0
बाघ,बिल्ली,6.474872287292037,7.0,1
किताब,कागज़,5.339189760074597,7.6,0
कंप्यूटर,कीबोर्ड,6.90811275758049,7.6,1
कंप्यूटर,इंटरनेट,7.116359615384267,8.0,1
विमान,कार,6.274393364910482,6.0,1
रेलगाड़ी,कार,6.108957426554587,6.2,1
टेलीफोन,संचार,5.805759817368057,7.6,0
टेलीविजन,रेडियो,7.580018185687827,6.4,1
मीडिया,रेडियो,5.306770217879664,5.8,0
ब्रेड,मक्खन,7.221522697611203,6.6,1
खीरा,आलू,8.323273350447497,5.8,1
चिकित्सक,नर्स,7.003461303866332,7.6,1
प्रोफ़ेसर,चिकित्सक,5.450974846255847,4.6,0
छात्र,प्रोफ़ेसर,5.060731292897891,7.0,0
होशियार,छात्र,3.8151282916486435,5.2,0
होशियार,बेवकूफ,5.930489262587468,6.2,0
किताब,पुस्तकालय,4.703849115406006,7.6,0
बैंक,पैसे,4.910287760703701,8.0,0
लकड़ी,जंगल,5.466520142731933,7.0,0
प्रोफ़ेसर,खीरा,1.2081574992394857,0.0,0
राजा,रानी,7.052773903398764,8.2,1
बिशप,रबी,1.4684349533199657,7.0,0
यरूशलेम,इजराइल,5.267121308084829,7.8,0
पवित्र,सेक्स,2.6205984310068198,1.0,0
माराडोना,फ़ुटबॉल,6.902350496495871,7.8,1
फ़ुटबॉल,सॉकर,8.435311182553583,9.0,1
फ़ुटबॉल,बास्केटबाल,7.3907580231827685,6.4,1
फ़ुटबॉल,टेनिस,7.513460910872074,5.8,1
टेनिस,रैकेट,5.263865514382338,7.4,0
कानून,वकील,4.935620601494041,7.8,0
चलचित्र,पॉपकॉर्न,4.097071689083099,6.6,0
चलचित्र,आलोचक,2.9972128303371925,6.6,0
चलचित्र,थिएटर,5.00143343468574,8.4,0
पीना,कार,3.1831845167837054,1.4,0
पीना,कान,3.3919187025483124,0.4,0
पीना,मुंह,4.137031120479612,7.0,0
बच्चा,मां,5.511191382784945,7.2,0
पीना,मां,2.791303008516708,1.8,0
मणि,गहना,4.018123810931663,6.8,0
भट्ठी,स्टोव,7.022818470927693,8.4,1
भोजन,फल,5.981049087721427,6.6,0
पक्षी,सारस,8.535008799910317,7.4,1
भाई,साधु,2.8323679794335965,1.4,0
यात्रा,कार,4.197636801148405,6.2,0
साधु,गुलाम,2.477139202523539,0.2,0
कांच,जादूगर,3.6818292733321485,2.0,0
पैसे,मुद्रा,4.1502484588089485,8.6,0
पैसे,धन,5.870889935618769,9.2,0
पैसे,संपत्ति,5.078941096487611,8.4,0
पैसे,बैंक,4.910287760703701,8.2,0
पैसे,जमा,4.823822427173719,6.6,0
पैसे,ऑपरेशन,3.388590928261696,2.6,0
बाघ,जैगुआर,4.780786057666923,8.0,0
बाघ,जानवर,7.225027349777711,7.6,1
बाघ,चिड़ियाघर,7.051327710523222,6.8,1
मनोविज्ञान,चिंता,3.4812647744750276,6.2,0
मनोविज्ञान,डर,2.0202544259998536,5.2,0
मनोविज्ञान,डिप्रेशन,4.415682269966161,7.0,0
मनोविज्ञान,क्लिनिक,4.649744865303167,6.4,0
मनोविज्ञान,चिकित्सक,5.237498889122511,7.0,0
मनोविज्ञान,मन,3.9057724692572977,7.4,0
मनोविज्ञान,स्वास्थ्य,5.233972216440748,6.2,0
मनोविज्ञान,विज्ञान,8.07686314485742,7.0,1
मनोविज्ञान,अनुशासन,5.243755145581861,4.2,0
Total Accuracy --> 47.69230769230769,,,,
