Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,3.887342851543286,6.8,0
बाघ,बिल्ली,6.25361937225318,7.0,1
किताब,कागज़,5.7561301381926615,7.6,1
कंप्यूटर,कीबोर्ड,6.722089056313001,7.6,1
कंप्यूटर,इंटरनेट,7.179460594939435,8.0,1
विमान,कार,6.394351937737266,6.0,1
रेलगाड़ी,कार,6.652936736205186,6.2,1
टेलीफोन,संचार,5.479849553513953,7.6,1
टेलीविजन,रेडियो,7.466255094256083,6.4,1
मीडिया,रेडियो,5.544225809934584,5.8,1
ब्रेड,मक्खन,7.311728701634324,6.6,1
खीरा,आलू,8.271246984613937,5.8,1
चिकित्सक,नर्स,7.0214226105800215,7.6,1
प्रोफ़ेसर,चिकित्सक,5.318654884930767,4.6,1
छात्र,प्रोफ़ेसर,4.931894601923576,7.0,1
होशियार,छात्र,3.720019681979873,5.2,0
होशियार,बेवकूफ,6.193171725844446,6.2,1
किताब,पुस्तकालय,4.463296331558713,7.6,1
बैंक,पैसे,4.850056350551853,8.0,1
लकड़ी,जंगल,5.288179880529588,7.0,1
प्रोफ़ेसर,खीरा,0.8579072508967023,0.0,0
राजा,रानी,6.694445681843382,8.2,1
बिशप,रबी,0.8331264579498945,7.0,0
यरूशलेम,इजराइल,4.9838472922579165,7.8,1
पवित्र,सेक्स,2.4258063913784547,1.0,0
माराडोना,फ़ुटबॉल,6.930302081569804,7.8,1
फ़ुटबॉल,सॉकर,8.4260712123996,9.0,1
फ़ुटबॉल,बास्केटबाल,7.249078771783531,6.4,1
फ़ुटबॉल,टेनिस,7.415844615075493,5.8,1
टेनिस,रैकेट,4.973634963447684,7.4,1
कानून,वकील,5.364930981177411,7.8,1
चलचित्र,पॉपकॉर्न,4.021348001316193,6.6,1
चलचित्र,आलोचक,3.1900093881270357,6.6,0
चलचित्र,थिएटर,4.818366027467966,8.4,1
पीना,कार,2.0415074668288637,1.4,0
पीना,कान,3.179290521667713,0.4,0
पीना,मुंह,4.266374960342015,7.0,1
बच्चा,मां,5.698374598803069,7.2,1
पीना,मां,2.375793940792145,1.8,0
मणि,गहना,3.8758621491583445,6.8,0
भट्ठी,स्टोव,7.105972006778626,8.4,1
भोजन,फल,5.895434199737123,6.6,1
पक्षी,सारस,8.236676137305125,7.4,1
भाई,साधु,3.1637901759781113,1.4,0
यात्रा,कार,4.361547750304046,6.2,1
साधु,गुलाम,2.9549232046818967,0.2,0
कांच,जादूगर,3.5351254443079116,2.0,0
पैसे,मुद्रा,4.165174332994709,8.6,1
पैसे,धन,6.511806006677542,9.2,1
पैसे,संपत्ति,5.552643810703093,8.4,1
पैसे,बैंक,4.850056350551853,8.2,1
पैसे,जमा,4.878484821300579,6.6,1
पैसे,ऑपरेशन,2.780091140753357,2.6,0
बाघ,जैगुआर,4.780704889150563,8.0,1
बाघ,जानवर,7.266578750583516,7.6,1
बाघ,चिड़ियाघर,6.8627798891480465,6.8,1
मनोविज्ञान,चिंता,3.53510825610242,6.2,0
मनोविज्ञान,डर,2.2118135394991176,5.2,0
मनोविज्ञान,डिप्रेशन,4.024216980535474,7.0,1
मनोविज्ञान,क्लिनिक,4.525316267885593,6.4,1
मनोविज्ञान,चिकित्सक,5.112589455499343,7.0,1
मनोविज्ञान,मन,4.022969543281302,7.4,1
मनोविज्ञान,स्वास्थ्य,5.2025931724687275,6.2,1
मनोविज्ञान,विज्ञान,7.954474048117471,7.0,1
मनोविज्ञान,अनुशासन,5.455807667730807,4.2,1
Total Accuracy --> 89.23076923076924,,,,
