Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,4.330525515682616,6.8,0
बाघ,बिल्ली,5.996534732116199,7.0,0
किताब,कागज़,6.407840596167473,7.6,0
कंप्यूटर,कीबोर्ड,6.321789173646062,7.6,0
कंप्यूटर,इंटरनेट,7.983269038764396,8.0,1
विमान,कार,7.168454215733391,6.0,1
रेलगाड़ी,कार,6.551093580696058,6.2,0
टेलीफोन,संचार,5.788380860275756,7.6,0
टेलीविजन,रेडियो,7.840642087928094,6.4,1
मीडिया,रेडियो,6.5340888728126725,5.8,0
ब्रेड,मक्खन,6.9418112664612615,6.6,0
खीरा,आलू,6.75938441054639,5.8,0
चिकित्सक,नर्स,7.424001615115942,7.6,1
प्रोफ़ेसर,चिकित्सक,5.708070919917192,4.6,0
छात्र,प्रोफ़ेसर,5.271255087557389,7.0,0
होशियार,छात्र,4.578795249114899,5.2,0
होशियार,बेवकूफ,6.331541638269975,6.2,0
किताब,पुस्तकालय,4.834225083043183,7.6,0
बैंक,पैसे,6.667359443842781,8.0,0
लकड़ी,जंगल,6.4360894257580545,7.0,0
प्रोफ़ेसर,खीरा,-0.10984559597152722,0.0,0
राजा,रानी,7.5025016042130055,8.2,1
बिशप,रबी,0.7675898883789922,7.0,0
यरूशलेम,इजराइल,5.48149185998695,7.8,0
पवित्र,सेक्स,4.1571879578463715,1.0,0
माराडोना,फ़ुटबॉल,4.078155523780666,7.8,0
फ़ुटबॉल,सॉकर,7.9875594787599855,9.0,1
फ़ुटबॉल,बास्केटबाल,6.70459346082613,6.4,0
फ़ुटबॉल,टेनिस,6.750377953592464,5.8,0
टेनिस,रैकेट,4.488102224094883,7.4,0
कानून,वकील,6.453000409807624,7.8,0
चलचित्र,पॉपकॉर्न,1.6246275004196162,6.6,0
चलचित्र,आलोचक,4.131037789234437,6.6,0
चलचित्र,थिएटर,5.338535630086323,8.4,0
पीना,कार,2.471587128667905,1.4,0
पीना,कान,4.37661057301911,0.4,0
पीना,मुंह,4.646349850259819,7.0,0
बच्चा,मां,7.309494708307291,7.2,1
पीना,मां,4.227932408837875,1.8,0
मणि,गहना,3.514596796963713,6.8,0
भट्ठी,स्टोव,6.328404566957588,8.4,0
भोजन,फल,7.6459746234772705,6.6,1
पक्षी,सारस,7.725168251616216,7.4,1
भाई,साधु,4.921555571843183,1.4,0
यात्रा,कार,5.762995881376022,6.2,0
साधु,गुलाम,3.3390106767391496,0.2,0
कांच,जादूगर,3.326064134283916,2.0,0
पैसे,मुद्रा,6.116830587554433,8.6,0
पैसे,धन,7.875886551570933,9.2,1
पैसे,संपत्ति,6.8810626167321445,8.4,0
पैसे,बैंक,6.667359443842781,8.2,0
पैसे,जमा,7.138369207216306,6.6,1
पैसे,ऑपरेशन,3.5368560282927493,2.6,0
बाघ,जैगुआर,2.737265808139704,8.0,0
बाघ,जानवर,7.7505759514614105,7.6,1
बाघ,चिड़ियाघर,6.41207387885511,6.8,0
मनोविज्ञान,चिंता,4.371106433043218,6.2,0
मनोविज्ञान,डर,3.298727341824548,5.2,0
मनोविज्ञान,डिप्रेशन,4.4167308096922095,7.0,0
मनोविज्ञान,क्लिनिक,4.53177603989999,6.4,0
मनोविज्ञान,चिकित्सक,6.010799296218423,7.0,0
मनोविज्ञान,मन,3.8086677788167957,7.4,0
मनोविज्ञान,स्वास्थ्य,5.971482020670136,6.2,0
मनोविज्ञान,विज्ञान,8.30484853173968,7.0,1
मनोविज्ञान,अनुशासन,6.143223472503144,4.2,0
Total Accuracy --> 58.46153846153847,,,,
