QueryID	Query
Q01	By the late 1920s to early 1930s pathology was deemed a medical specialty.
Q02	Death in (performance of) one's own duty is preferable. (The adoption of) the duty of another carries fear (with it).
Q03	Aristophanes' play Thesmophoriazusae parodies Euripides' frequent use of the crane by making Euripides himself a character in the play and bringing him on stage by way of the mechane.
Q04	In Western society, the concept of hospice began evolving in Europe in the 11th century.
Q05	Most early microcomputers relied on hand-coded assembly language, including most operating systems and large applications.
Q06	Sounds of a healthy 16 year-old’s heart beating normally, as heard with a stethoscope.
Q07	Rama gave her away to Kasyapa at his great Horse-sacrifice. Having divested the earth of Kshatriyas for one and twenty times
Q08	According to sociologist Habibul Haque Khondker, "many Bangladeshi professionals also attend such events to display their high professional and class status."
Q09	Boating services seen in Om beach, 5km from Gokarna A tourist sun bathing in Om beach
Q10	Unlike Chaitanya, the Panchasakhas believed in Gyana Mishra Bhakti Marga, similar to the Buddhist philosophy of Charya literature stated above.
Q11	At the lowest programming level, executable code consists of machine language instructions supported by an individual processorâtypically a central processing unit (CPU) or a graphics processing unit (GPU).
Q12	his hundred daughters touching his feet with their heads, said, O king, that life of all,
Q13	the identification, in 1983, of folic acid as a preventive measure for spina bifida and neural tube defects;[12]
Q14	The definition of close relationships that is frequently referred back to is one from Harold Kelley and colleague's 1983 book, Close Relationships.
Q15	Microbes biodegrade aromatic hydrocarbons". Biosphere Plastic
Q16	Either a person is not insane (¬I) or does not request an evaluation (¬R). (2. and material implication) 4.
Q17	Common triggers include oral sounds (e.g., loud breathing, chewing, swallowing), clicking sounds (e.g., keyboard tapping, finger tapping, windshield wipers), and sounds associated with movement (e.g., fidgeting).
Q18	the Mersenne Twister generates integers in the range [0, 2wÂ âÂ 1].
Q19	Artificial Neural Network
Q20	Javascript, wikipedia, html, css, blockchain technology, mahabharat, shakuni, Dhritrashtra
